Abaeis nicippe,Sleepy orange butterfly
Ambystoma jeffersonianum,Jefferson salamander
Ambystoma laterale,Blue-spotted salamander
Ambystoma macrodactylum,Long-toed salamander
Ambystoma maculatum,Spotted salamander
Ambystoma opacum,Marbled salamander
Ambystoma texanum,Smallmouth salamander
Ambystoma tigrinum,Eastern tiger salamander
Ameiurus catus,White catfish
Ameiurus melas,Black bullhead
Ameiurus natalis,Yellow bullhead
Ameiurus nebulosus,Brown bullhead
Ameiva ameiva,Giant ameiva
Amelanchier bartramiana,Mountain serviceberry
Ameletus inopinatus,Upland summer mayfly
Amentotaxus argotaenia,Chinese flowering yew
Ametrida centurio,Small leaf-nosed bat
Amietia angolensis,Angola river frog
Ammi majus,Bishop's weed
Ammodramus maritimus,Seaside sparrow
Ammodramus savannarum,Grasshopper sparrow
Ammophila arenaria,Marram beachgrass
Ammospermophilus harrisii,Harris' antelope squirrel
Ammospermophilus interpres,Texas antelope squirrel
Ammospermophilus leucurus,White-tailed antelope squirrel
Ammospiza leconteii,Le Conte's sparrow
Ammothea carolinensis,Sea spider
Ammothea hilgendorfi,Sea spider
Ammotragus lervia,Barbary sheep
Amolops chunganensis,Chungan torrent frog
Amolops jingdongensis,Chinese torrent frog
Amolops mantzorum,Sichuan torrent frog
Amolops ricketti,Chinese sucker frog
Amolops wuyiensis,Wuyi torrent frog
Amoreuxia wrightii,Wright's yellowshow
Amorphophallus abyssinicus,Black arum
Amorphophallus konjac,Devil's tongue
Amorphophallus paeoniifolius,Whitespot giant arum
Amorphophallus titanum,Titan arum
Amorphotheca resinae,Creosote fungus
Ampelomyces quisqualis,Powdery mildew agent
Ampelophaga rubiginosa,Common vine hawkmoth
Amphiagrion abbreviatum,Western red damselfly
Amphiareus obscuriceps,Minute pirate bug
Amphibalanus amphitrite,Striped barnacle
Amphibalanus eburneus,Ivory barnacle
Amphibalanus improvisus,Bay barnacle
Amphibolurus muricatus,Jacky dragon
Amphicarpaea bracteata,American hog peanut
Amphicarpaea edgeworthii,Chinese hog peanut
Amphilophus amarillo,Cichlid fish
Amphilophus citrinellus,Midas cichlid
Amphilophus labiatus,Red devil cichlid
Amphilophus sagittae,Cichlid fish
Amphimedon compressa,Erect rope sponge
Amphioctopus aegina,Marbled octopus
Amphioctopus fangsiao,Ocellated octopus
Amphioctopus marginatus,Veined octopus
Amphipholis squamata,Dwarf Brittle Star
Amphiprion clarkii,Clark's amemonefish
Amphiprion frenatus,Tomato anemonefish
Amphiprion ocellaris,Clown anemonefish
Amphiprion percula,Orange clownfish
Amphiprion perideraion,Pink anemonefish
Amphiprion polymnus,Saddleback anemonefish
Amphiprion sandaracinos,Yellow clownfish
Amphiprion sebae,Sebae anemonefish
Amphisamytha galapagensis,Polychaete worm
Amphisbaena fuliginosa,Speckled worm lizard
Amphisbaena schmidti,Schmidt's worm lizard
Amphispiza bilineata,Black-throated sparrow
Amphizoa insolens,Trout-stream beetle
Amphizoa lecontei,Trout-stream beetle
Ampithoe longimana,Long-antennaed tube-building amphipod
Amplirhagada alta,Land snail
Ampulex compressa,Emerald cockroach wasp
Ampullaceana balthica,Wandering pond snail
Amsacta albistriga,Red hairy caterpillar
Amsacta moorei,Tiger moth
Amsonia tabernaemontana,Eastern bluestar
Amyda cartilaginea,Asiatic softshell turtle
Amyelois transitella,Navel orangeworm moth
Amylomyces rouxii,Filamentous fungus
Anabarilius grahami,Kanglang fish
Anabas testudineus,Climbing perch
Anableps anableps,Largescale four-eyed fish
Anabrus simplex,Mormon cricket
Anacolia laevisphaera,Anacolia moss
Anacridium aegyptium,Egyptian locust
Anadara broughtonii,Blood clam
Anadara inaequivalvis,Inequivalve ark
Anadara ovalis,Blood ark
Anadara trapezia,Sydney cockle
Anaerococcus prevotii,Peptostreptococcus prevotii
Anagallis arvensis,Scarlet pimpernel
Anagrapha falcifera,Celery looper moth
Anairetes alpinus,Ash-breasted tit-tyrant
Anairetes flavirostris,Yellow-billed tit-tyrant
Anairetes parulus,Tufted tit-tyrant
Ananas comosus,Pineapple
Ananas macrodontes,False pineapple
Anania tertialis,Crowned Phlyctaenia moth
Anaphalis margaritacea,Pearly everlasting
Anarhichas lupus,Atlantic wolffish
Anarhichas minor,Arctic spotted wolffish
Anartia amathea,Scarlet peacock butterfly
Anartia chrysopelea,Caribbean peacock butterfly
Anartia fatima,Banded peacock butterfly
Anartia jatrophae,White peacock butterfly
Anas acuta,Northern pintail
Anas aucklandica,Brown teal
Anas bahamensis,White-cheeked pintail
Anas bernieri,Madagascar teal
Anas capensis,Cape teal
Anas castanea,Chestnut teal
Anas chlorotis,Brown teal
Anas crecca,Green-winged teal
Anas erythrorhyncha,Red-billed duck
Anas flavirostris,Speckled teal
Anas fulvigula,Mottled duck
Anas georgica,Yellow-billed pintail
Anas gibberifrons,Sunda teal
Anas gracilis,Grey teal
Anas laysanensis,Laysan duck
Anas luzonica,Philippine duck
Anas melleri,Meller's duck
Anas nesiotis,Campbell island teal
Anas platyrhynchos,Northern mallard
Anas poecilorhyncha,Indian spot-billed duck
Anas puna,Puna teal
Anas rubripes,American black duck
Anas sparsa,African black duck
Anas superciliosa,Pacific black duck
Anas undulata,Yellow-billed duck
Anasa tristis,Squash bug
Anastrepha curvicauda,Papaya fruit fly
Anax imperator,Emperor dragonfly
Anax junius,Green darner dragonfly
Anax parthenope,Lesser emperor dragonfly
Anaxyrus americanus,American toad
Anaxyrus boreas,Boreal toad
Anaxyrus canorus,Yosemite toad
Anaxyrus cognatus,Great plains toad
Anaxyrus punctatus,Red-spotted toad
Anaxyrus retiformis,Sonoran green toad
Anaxyrus woodhousii,Woodhouse's toad
Ancistrocladus korupensis,Cameroonian vine
Ancylostoma caninum,Dog hookworm
Andalgalomys olrogi,Olrog's chaco mouse
Andalgalomys pearsoni,Pearson's chaco mouse
Andalgalomys roigi,Roig's chaco mouse
Andinoacara coeruleopunctatus,Cichlid fish
Andinoacara pulcher,Blue acara
Andinoacara rivulatus,Green terror
Andrena bicolor,Gwynne's mining bee
Andrena cineraria,Ashy mining bee
Andrena dunningi,Dunning's mining bee
Andrena wilkella,Mining bee
Andrias davidianus,Chinese giant salamander
Andrias japonicus,Japanese giant salamander
Androctonus amoreuxi,African fattail scorpion
Androctonus australis,Sahara scorpion
Androctonus crassicauda,Arabian fat-tailed scorpion
Androctonus mauritanicus,Fat-tailed scorpion
Andromeda polifolia,Bog rosemary
Androsace septentrionalis,Northern fairy candelabra
Andryala integrifolia,Common andryala
Anemarrhena asphodeloides,Zhi mu
Anemia adiantifolia,Pineland fern
Anemia mexicana,Mexican fern
Anemone multifida,Cut-leaf anemone
Anemone nemorosa,Wood anemone
Anemone quinquefolia,Wood anemone
Anemonia erythraea,Sea anemone
Anemonia manjano,Sea anemone
Anemonia viridis,Snakelocks anemone
Aneura mirabilis,Parasitic liverwort
Angelica acutiloba,Japanese angelica
Angiopteris evecta,Mule's foot fern
Angiopteris lygodiifolia,Turnip fern
Angiopteris palmiformis,Elephant fern
Angiostrongylus cantonensis,Rat lungworm
Angiostrongylus costaricensis,Nematode worm
Angiostrongylus vasorum,French heartworm
Angophora costata,Sydney red gum
Angophora floribunda,Rough-barked apple
Anguilla anguilla,European freshwater eel
Anguilla australis,Australian eel
Anguilla interioris,Highlands long-finned eel
Anguilla japonica,Japanese eel
Anguilla marmorata,Giant mottled eel
Anguilla mossambica,African longfin eel
Anguilla reinhardtii,Speckled longfin eel
Anguilla rostrata,American eel
Anguillicoloides crassus,Eel swimbladder nematode
Anguillicoloides papernai,Swimbladder nematode
Anguis fragilis,Slow worm
Anhinga novaehollandiae,Australian darter
Anicla infecta,Green cutworm moth
Anigozanthos flavidus,Evergreen kangaroo-paw
Anilius scytale,Red pipe snake
Anisakis simplex,Herring worm
Anisakis typica,Nematode worm
Anisognathus flavinuchus,Blue-winged mountain-tanager
Anisomorpha buprestoides,Two-striped walkingstick
Anisomys imitator,Squirrel-toothed rat
Anisosticta novemdecimpunctata,Water ladybird beetle
Anisotremus interruptus,Burrito grunt
Anisus vortex,Whirlpool ramshorn snail
Anniella pulchra,California legless lizard
Annona cherimola,Custard apple
Annona glabra,Pond apple
Annona mucosa,Wild sugar apple
Annona reticulata,Custard apple
Annona senegalensis,Wild custard apple
Annona squamosa,Sugar apple
Anodonta anatina,Duck mussel
Anodonta oregonensis,Oregon floater
Anodorhynchus hyacinthinus,Hyacinth macaw
Anodorhynchus leari,Lear's macaw
Anolis carolinensis,Green anole
Anolis chrysolepis,Goldenscale anole
Anolis distichus,Bark anole
Anolis equestris,Knight anole
Anolis fuscoauratus,Slender anole
Anolis ortonii,Ortoni's anole
Anolis pulchellus,Common grass anole
Anolis punctatus,Amazon green anole
Anolis sagrei,Brown anole
Anolis transversalis,Banded tree anole
Anomala costata,Larger striated chafer
Anomala cuprea,Cupreous chafer beetle
Anomala octiescostata,Scarab beetle
Anomala osakana,Osaka chafer beetle
Anomaloglossus baeobatrachus,Rocket frog
Anomaloglossus beebei,Beebe's rocket frog
Anomalops katoptron,Splitfin flashlightfish
Anomalopteryx didiformis,Little bush moa
Anomochloa marantoidea,Herbaceous bamboo
Anomodon rugelii,Rugel's anomodon moss
Anopheles albitarsis,Malaria mosquito
Anopheles aquasalis,Malaria mosquito
Anopheles freeborni,Western malaria mosquito
Anopheles funestus,African malaria mosquito
Anopheles gambiae,African malaria mosquito
Anopheles quadrimaculatus,Common malaria mosquito
Anopheles stephensi,Indo-Pakistan malaria mosquito
Anoplius samariensis,Solitary wasp
Anoplogaster cornuta,Common fangtooth
Anoplolepis gracilipes,Yellow crazy ant
Anoplophora chinensis,Citrus longhorn beetle
Anoplophora glabripennis,Asian longhorn beetle
Anoplotrupes stercorosus,Dor beetle
Anorrhinus galeritus,Bushy-crested hornbill
Anoura caudifer,Hairy-legged long-tongued bat
Anoura geoffroy,Geoffroy's tailless bat
Anourosorex squamipes,Chinese mole shrew
Anourosorex yamashinai,Taiwanese mole shrew
Anous minutus,Black noddy
Anous stolidus,Brown noddy
Anoxypristis cuspidata,Pointed sawfish
Anredera cordifolia,Madeira vine
Ansellia gigantea,Leopard orchid
Anser albifrons,Greater white-fronted goose
Anser anser,Western greylag goose
Anser caerulescens,Snow goose
Anser canagicus,Emperor goose
Anser cygnoid,Swan goose
Anser fabalis,Bean goose
Anser indicus,Bar-headed goose
Anser rossii,Ross' goose
Anseranas semipalmata,Magpie goose
Antalis pilsbryi,Pilsbry tusk shell
Antaresia childreni,Children's python
Antechinomys laniger,Eastern jerboa marsupial
Antechinus bellus,Fawn marsupial mouse
Antechinus flavipes,Yellow-footed marsupial mouse
Antechinus godmani,Atherton antechinus
Antechinus leo,Cinnamon antechinus
Antechinus minimus,Swamp antechinus
Antechinus naso,Long-nosed marsupial mouse
Antechinus stuartii,Brown marsupial mouse
Antechinus swainsonii,Dusky antechinus
Antedon mediterranea,Mediterranean feather star
Antennarius striatus,Striated frogfish
Anterhynchium flavomarginatum,Solitary wasp
Anthanassa frisia,Cuban crescent
Antheopsis maculata,Sea anemone
Antheraea mylitta,Tasar silkworm
Antheraea polyphemus,Polyphemus moth
Antheraea yamamai,Japanese oak silkmoth
Anthericum liliago,St-Bernard's lily
Anthidium oblongatum,Leaf-cutter bee
Anthocercis angustifolia,Narrow-leaf ray-flower
Anthocercis viscosa,Sticky tailflower
Anthocharis bambusarum,Orange tip butterfly
Anthocharis cardamines,Orange tip butterfly
Anthocharis midea,Falcate orangetip butterfly
Anthocharis scolymus,Yellow tip butterfly
Anthocleista grandiflora,Forest fever tree
Anthocoris antevolens,Predatory bug
Anthocoris musculus,Predatory bug
Antholoba achates,Sea anemone
Anthometrina adriani,Feather star
Anthophila fabriciana,Nettle-tap moth
Anthopleura aff.,Sea anemone
Anthopleura asiatica,Sea anemone
Anthopleura elegantissima,Green aggregating anemone
Anthopleura fuscoviridis,Sea anemone
Anthopleura japonica,Sea anemone
Anthopleura sola,Solitary starburst anemone
Anthopleura sp.,Sea anemone
Anthoptus epictetus,Trailside skipper
Anthoscopus minutus,Southern penduline-tit
Anthoscopus musculus,Mouse-colored penduline-tit
Anthoxanthum odoratum,Sweet vernal grass
Anthracothorax nigricollis,Black-throated mango
Anthracothorax viridis,Green mango
Anthropoides paradiseus,Blue crane
Anthropoides virgo,Demoiselle crane
Anthurium andraeanum,Flamingo lily
Anthurium scherzerianum,Flamingo flower
Anthus cervinus,Red-throated pipit
Anthus rubescens,American pipit
Anthus spinoletta,Water pipit
Anticarsia gemmatalis,Velvetbean caterpillar moth
Anticlea multiferata,Many-lined carpet moth
Anticlea vasiliata,Variable carpet moth
Anticollix sparsata,Dentated pug
Antigone antigone,Sarus crane
Antigone canadensis,Sandhill crane
Antigone rubicunda,Brolga crane
Antigone vipio,White-naped crane
Antigonon leptopus,Mexican creeper
Antillogorgia bipinnata,Purple sea plume
Antilophia galeata,Helmeted manakin
Antimora rostrata,Blue antimora
Antirhea lucida,Palo iloron
Antirrhinum majus,Garden snapdragon
Antithamnion sp.,Red alga
Antitrogus parvulus,Childers canegrub
Antonospora locustae,Microsporidian parasite
Antricola delacruzi,Soft tick
Antrokoreana gracilipes,Troglobite millipede
Antrophyum reticulatum,Ox-tongue fern
Antrostomus vociferus,Eastern Whip-poor-will
Antrozous pallidus,Pallid bat
Anuroctonus phaiodactylus,Mafia scorpion
Anyperodon leucogrammicus,Slender grouper
Aonidiella aurantii,California red scale
Aonyx capensis,African clawless otter
Aonyx cinerea,Asian small-clawed otter
Aotus azarae,Southern owl monkey
Aotus azarai,Feline night monkey
Aotus lemurinus,Gray-bellied night monkey
Aotus nancymaae,Ma's night monkey
Aotus nigriceps,Black-headed night monkey
Aotus trivirgatus,Three-striped night monkey
Aotus vociferans,Spix's owl monkey
Apacheria chiricahuensis,Apache bush
Apaloderma narina,Narina trogon
Apaloderma vittatum,Bar-tailed trogon
Apalone ferox,Florida softshell turtle
Apalone spinifera,Spiny softshell turtle
Apamea amputatrix,Yellow-headed cutworm
Apantesis nevadensis,Nevada tiger moth
Apatelodes torrefacta,Spotted apatelodes moth
Apatides fortis,Horned powderpost beetle
Apatura ilia,Lesser purple emperor
Apatura iris,Purple emperor butterfly
Apeiba tibourbou,Hairy apeiba
Aphanarthrum glabrum,Bark beetle
Aphanius fasciatus,Mediterranean killifish
Aphanius iberus,Spanish toothcarp
Aphanocladium album,Wheat rust fungus
Aphanotriccus audax,Black-billed flycatcher
Aphantopus hyperantus,Ringlet butterfly
Aphelandra sinclairiana,Orange shrimp plant
Aphelenchus avenae,Mycophagous nematode worm
Aphelocoma californica,Western scrub-jay
Aphelocoma coerulescens,Florida scrub-jay
Aphelocoma ultramarina,Mexican jay
Aphidius colemani,Aphid parasite
Aphidius ervi,Aphid parasite
Aphidius matricariae,Aphid parasite
Aphidoletes aphidimyza,Aphid midge
Aphis craccivora,Cowpea aphid
Aphis fabae,Black bean aphid
Aphis glycines,Soybean aphid
Aphis gossypii,Cotton aphid
Aphodius depressus,Dung beetle
Aphodius rufipes,Night-flying dung beetle
Aphonopelma chalcodes,Desert blond tarantula
Aphonopelma sp.,American tarantula
Aphrocallistes vastus,Cloud glass sponge
Aphrophora alni,European alder spittlebug
Aphrophora cribrata,Pine spittlebug
Aphyosemion exigoideum,False jewel killi
Apiognomonia errabunda,Oak anthracnose fungus
Apiomorpha minor,Gall-inducing scale insect
Apis cerana,Oriental honeybee
Apis cerana,Indian honeybee
Apis dorsata,Giant honeybee
Apis florea,Dwarf honeybee
Apis koschevnikovi,Koschevnikov's honey bee
Apis mellifera,Carniolan honeybee
Apis mellifera,Common honeybee
Apis mellifera,Africanized honey bee
Apium graveolens,Celery
Aplidium conicum,Conical sea squirt
Aplodinotus grunniens,Freshwater drum
Aplodontia rufa,Mountain beaver
Aplysia californica,California sea hare
Aplysia dactylomela,Spotted sea hare
Aplysia depilans,Sea hare
Aplysia fasciata,Mottled sea hare
Aplysia juliana,Walking sea hare
Aplysia kurodai,Kuroda's sea hare
Aplysia limacina,Sea hare
Aplysia parvula,Little sea hare
Aplysia punctata,Sea slug
Aplysia sp.,Sea hare
Apochrysa matsumurae,Green lacewing
Apocrypta bakeri,Parasitic fig wasp
Apocynum androsaemifolium,Spreading dogbane
Apodemia mormo,Mormon metalmark
Apodemus agrarius,Eurasian field mouse
Apodemus alpicola,Alpine field mouse
Apodemus chevrieri,Chevrier's field mouse
Apodemus flavicollis,Yellow-necked field mouse
Apodemus latronum,Sichuan field mouse
Apodemus mystacinus,Broad-toothed field mouse
Apodemus peninsulae,Korean field mouse
Apodemus semotus,Taiwan field mouse
Apodemus sylvaticus,European woodmouse
Apodemus uralensis,Herb field mouse
Apoderus coryli,Hazel leaf-roller weevil
Apogon semilineatus,Half-lined cardinal
Apogonia cribricollis,Chafer beetle
Apolemichthys trimaculatus,Tree spot angelfish
Apolygus lucorum,Plant bug
Apolygus rhamnicola,Plant bug
Apolygus spinolae,Plant bug
Apomastus schlingeri,Trap-door spider
Apomys camiguinensis,Camiguin forest mouse
Aporia crataegi,Black-veined white butterfly
Apostichopus californicus,California sea cucumber
Apostichopus parvimensis,Warty sea cucumber
Apriona germari,Mulberry longhorn beetle
Aproteles bulmerae,Bulmer's fruit bat
Aptenia cordifolia,Heartleaf iceplant
Aptenodytes forsteri,Emperor penguin
Aptenodytes patagonicus,King penguin
Aptera fusca,Cape Mountain cockroach
Apterobittacus apterus,Wingless scorpionfly
Apteronotus albifrons,Black ghost
Apteryx australis,Southern brown kiwi
Apteryx haastii,Great spotted kiwi
Apteryx owenii,Little spotted kiwi
Apus apus,Common swift
Aquarius cinereus,Water strider
Aquarius elongatus,Giant water strider
Aquarius najas,River skater
Aquarius paludum,Water strider
Aquarius remigis,Common water strider
Aquatica lateralis,Heike firefly
Aquila adalberti,Adalbert's eagle
Aquila audax,Wedge-tailed eagle
Aquila chrysaetos,Golden eagle
Aquila heliaca,Eastern imperial eagle
Aquilaria crassna,Eagle wood
Aquilegia alpina,Alpine columbine
Aquilegia canadensis,Red columbine
Aquilegia coerulea,Rocky mountain columbine
Aquilegia formosa,Western columbine
Aquilegia vulgaris,European columbine
Aquilonastra minor,Sea star
Ara ararauna,Blue-and-yellow macaw
Ara macao,Scarlet macaw
Ara militaris,Military macaw
Arabella iricolor,Opal worm
Arabidopsis arenosa,Sand rock-cress
Arabidopsis lyrata,Lyre-leaved rock-cress
Arabidopsis lyrata,Northern rock-cress
Arabidopsis lyrata,Lyre-leaved rock-cress
Arabidopsis suecica,Swedish thale-cress
Arabidopsis thaliana,Mouse-ear cress
Arabis alpina,Alpine rock-cress
Arabis blepharophylla,Coast rock-cress
Arabis hirsuta,Hairy rock-cress
